date_created,text,favorite_count,retweet_count,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n , escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n , escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n , escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n , escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 9:48,"q navidades tan tristes, sin cesta tickests ,inflaci¢n ,escasez de medicamentos y alimentos y aun no abres los ojos. #pensionados #cestatik",0,11,,,,
12/13/2014 12:13,Enny Hernandez del Furrial: en la feria navide¤a consigo todos los alimentos Dios bendiga a la misi¢n alimentaci¢n! pic.twitter.com/hB8SGBXodk,0,14,,,,
12/13/2014 12:13,Enny Hernandez del Furrial: en la feria navide¤a consigo todos los alimentos Dios bendiga a la misi¢n alimentaci¢n! pic.twitter.com/hB8SGBXodk,0,14,,,,
12/13/2014 12:13,Enny Hernandez del Furrial: en la feria navide¤a consigo todos los alimentos Dios bendiga a la misi¢n alimentaci¢n! pic.twitter.com/hB8SGBXodk,0,14,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 12:59,3892 pers. beneficiadas con 25.3TM de alimentos Parroquia Juan de Villegas Mcpio. Iribarren en Lara @MinppalOficial pic.twitter.com/ovbfNs4vKu,1,19,,,,
12/13/2014 13:21,#RevolucionAlimentariaYProductiva es Feria navide¤a El Furrial con 105 tm de alimentos a precio justo pic.twitter.com/Bq1QKiC7IS,1,13,,,,
12/13/2014 13:21,#RevolucionAlimentariaYProductiva es Feria navide¤a El Furrial con 105 tm de alimentos a precio justo pic.twitter.com/Bq1QKiC7IS,1,13,,,,
12/13/2014 13:21,#RevolucionAlimentariaYProductiva es Feria navide¤a El Furrial con 105 tm de alimentos a precio justo pic.twitter.com/Bq1QKiC7IS,1,13,,,,
12/13/2014 13:21,#RevolucionAlimentariaYProductiva es Feria navide¤a El Furrial con 105 tm de alimentos a precio justo pic.twitter.com/Bq1QKiC7IS,1,13,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 17:02,"#RevolucionAlimentariaYProductiva en Pquia Charallave, Miranda expendiendo 30TM de alimentos para 1500 familias pic.twitter.com/rXJwcnGSZA",0,15,,,,
12/13/2014 18:57,"Miento: ""pueblo con hambre no defiende la democracia.""",1,10,,,,
12/13/2014 18:57,"Miento: ""pueblo con hambre no defiende la democracia.""",1,10,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
12/15/2014 14:45,Mercal Guanarito al servicio de la poblaci¢n con un abastecimiento completo de alimentos @Mercalportu pic.twitter.com/XU9aEw7DBa,2,22,,,,
